empresa,segmento,cidade,uf,email,site,origem
RN Engenharia,Engenharia,Curitiba,PR,,https://www.rnengenharia.com/,Web
Gandin Construtora,Construtora,Itapema,SC,,https://construtoragandin.com.br/,Web
Engeselt Engenharia,Engenharia,,,,https://www.engeselt.com.br/,Web
Ardecon Construtora Incorporadora,Construtora/Incorporadora,Porto Alegre,RS,,,Expoimovel RS
Conipar Construtora e Incorporadora,Construtora/Incorporadora,Porto Alegre,RS,,,Expoimovel RS
Construtora Vidanova,Construtora,Porto Alegre,RS,,,Expoimovel RS
Aparatto Empreendimentos,Incorporadora,,PE,diretoria@aparatto.com,,Expoimovel
Construtora Celi,Construtora,,PE,contato@celi.com.br,,Expoimovel
BFC Construtora,Construtora,,PE,bfc@grupobfc.com.br,,Expoimovel
Construtora Lusa,Construtora,,PE,atendimento@construtoralusa.com.br,,Expoimovel
Nordeste Incorporações,Incorporadora,João Pessoa,PB,contato.nordesteconstrucoes@gmail.com,https://nordesteinc.com.br/,Web
Capuche Empreendimentos Ltda,Incorporadora,,RN,sac@capuche.com.br,,Expoimovel
A B Côrte Real,Construtora,,,abcorte@veloxmail.com.br,,Expoimovel
AGS Construção e Incorporação,Incorporadora,,PE,rafaela@agsconstrucao.com.br,,Expoimovel
ANDRADE MARINHO LMF Construções,Construtora,,,comerciallmf@lmfconstrucoes.com.br,,Expoimovel
ARGIC,Construtora,,PE,ricardo@argic.com.br,,Expoimovel
ARGILA Incorporações,Incorporadora,,PE,dvandrade@gmail.com,,Expoimovel
Aveloz Empreendimentos,Incorporadora,,,eduardobandeira@avelozempreendimentos.com.br,,Expoimovel
Azevedo (Trio Empreendimentos),Construtora,,PE,contato@trioempreendimentos.com,,Expoimovel
Barbosa e Pinto,Construtora,,,financeiro@barbosaepinto.com.br,,Expoimovel
Boa Vista Construtora e Incorporadora,Construtora/Incorporadora,,,pedrinholima@hotmail.com,,Expoimovel
CA3 Construtora Ltda,Construtora,,,daniel@ca3construtora.com.br,,Expoimovel
Cabral Incorporadora,Incorporadora,,,silvia@cabralincorporadora.com.br,,Expoimovel
Construtora A. C. Cruz Ltda,Construtora,,,accruz@accruz.com.br,,Expoimovel
Construtora Dallas,Construtora,,,online@construtoradallas.com.br,,Expoimovel
CONLAR,Construtora,,,conlar@conlar.com,,Expoimovel
ACLF Empreendimentos,Incorporadora,,,flavia@aclf.com.br,,Expoimovel
Perplan Empreendimentos,Incorporadora,,,recrutamento@perplan.com.br,https://perplan.com.br/,Scrape
Construtora Elevação,Construtora,,,,https://www.construtoraelevacao.com.br/,Web
LIC Construtora,Construtora,Goiânia,GO,,https://licconstrutora.com.br/,Web
Construtora Capital,Construtora,Manaus,AM,,https://construtoracapital.com.br/,Web
